,Número,Nombre Constructor,Número CUIT,Tipo,Estado,Fecha perfeccionamiento,Monto,Moneda,tramite,tramite_estado,tramite_nombre_proc,tramite_exp_num,tramite_uoc
9,451-1005-CON18,MARCALBA S.A.,30608674833,Original,Perfeccionado,20/4/2018,634.578.18748,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
10,451-1004-CON18,POSE SA,30709107123,Original,Perfeccionado,20/4/2018,610.910.69868,Peso Argentino,451-0002-LPU18,Adjudicado,"Rehabilitación y Mantenimiento Vial, de Aceras y de la Red Pluvial en la Región Metropolitana Bs As",EX-2018-01915722-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,82-0036-LPU17,Con_Documentos_Contractuales_Autorizados_error,,,
0,451-1023-CON18,BRICONS S.A.I.C.F.I.,30541068151,Original,Cumplido,15/8/2018,166.459.80704,Peso Argentino,451-0004-LPU18,Adjudicado,METROBÚS CIUDAD DE NEUQUÉN,EX-2018-05390453-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0467-CON20,BRICONS S.A.I.C.F.I.,30541068151,Original,Perfeccionado,15/8/2018,166.459.80704,Peso Argentino,451-0004-LPU18,Adjudicado,METROBÚS CIUDAD DE NEUQUÉN,EX-2018-05390453-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,46/18-0006-LPU18,Dejado Sin Efecto,BACHEO SUPERFICIAL CON MEZCLA ASFALTICA EN CALIENTE,EX-2018-14743687-   -APN-DCHA#DNV,46/18 - 18° Chaco - DNV
0,,,,,,,,,82-0003-LPU18,Dejado Sin Efecto,Construccion de Jardines de Infantes Zona - PATAGONIA SUR,EX-2018-12469460-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0004-LPU18,Dejado Sin Efecto,CONSTRUCCION DE JARDINES DE INFANTES - ZONA CENTRO NORTE,EX-2018-12470301-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,82-0005-LPU18,Dejado Sin Efecto,Construcción de Jardines de Infantes ZONA: PATAGONIA NORTE,EX-2018-12491360-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,82-1033-CON19,iprar srl,33711803039,Original,Perfeccionado,22/4/2019,38.794.97869,Peso Argentino,82-0010-LPU18,Adjudicado,Construccion de Jardines de Infantes Zona Metropolitana,EX-2018-21683361-   -APN-DC#ME,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,451-1598-CON18,CONSTRUMEX S.A.,30696394217,Original,Cumplido,23/10/2018,299.750.00058,Peso Argentino,451-0011-LPU18,Adjudicado,METROBUS QUILMES,EX-2018-26260538-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0472-CON20,CONSTRUMEX S.A.,30696394217,Original,Perfeccionado,23/10/2018,299.750.00058,Peso Argentino,451-0011-LPU18,Adjudicado,METROBUS QUILMES,EX-2018-26260538-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,39-1000-CON19,CONAL S.A.,30711376905,Original,Perfeccionado,20/5/2019,38.693.66573,Peso Argentino,39-0016-LPU18,Adjudicado,CONSTRUCCIÓN DE UN EDIFICIO PARA EL POLO LOGÍSTICO POSADAS.,EX-2018-37212450-   -APN-DAFI#PNA,39 - Dirección General de Administración- PNA
0,74-1000-CON18,E.V.A. S.A.,30702250400,Original,Rescindido,12/12/2018,63.736.11656,Peso Argentino,74-0013-LPU18,Adjudicado,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,EX-2018-46713059-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
1,74-1094-CON19,E.V.A. S.A.,30702250400,Modificacion_Obra,Perfeccionado,08/10/2019,76.451.48556,Peso Argentino,74-0013-LPU18,Adjudicado,Mejoramiento y reparacion Camino Acceso Cerro Tronador - PN Nahuel Huapi,EX-2018-46713059-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
0,,,,,,,,,279-0004-LPU18,Desierto,Reparación parcial de la cubierta y reacondicionamiento del sector sanitario de UOSP San Fernando,EX-2018-46135266-   -APN-DCOMP#PSA,279/000 - Departamento de Compras - PSA
0,279-1002-CON18,iprar srl,33711803039,Original,Perfeccionado,28/12/2018,2.170.96826,Peso Argentino,279-0005-LPU18,Adjudicado,"Impermeabilización y reparación de la cubierta del Edificio UOESA, sito en Ezeiza Buenos Aires",EX-2018-46197851-   -APN-DCOMP#PSA,279/000 - Departamento de Compras - PSA
0,,,,,,,,,279-0006-LPU18,Disponible Para Adjudicar_error,,,
0,39-1001-CON19,D&MA S.A.,30709160091,Original,Perfeccionado,02/8/2019,13.386.98991,Peso Argentino,39-0030-LPU18,Adjudicado,"AMPLIACION Y REMODELACION DE BAÑOS Y VESTUARIOS CUADRA ALFA/BRAVO, EN LOS INSTITUTOS DE FORMACION",EX-2018-48217871-   -APN-DAFI#PNA,39 - Dirección General de Administración- PNA
0,39-1002-CON19,INDO S.A.,30710350678,Original,Perfeccionado,25/10/2019,9.565.67632,Peso Argentino,39-0031-LPU18,Adjudicado,CONSTRUCCIÓN DE UN (1) EDIFICIO PARA LA PREFECTURA ITATÍ,EX-2018-48991798-   -APN-DAFI#PNA,39 - Dirección General de Administración- PNA
0,279-1004-CON18,D&MA S.A.,30709160091,Original,Perfeccionado,03/1/2019,3.606.52836,Peso Argentino,279-0009-LPU18,Adjudicado,Construcción de cinco aulas para el ISSA sito en Ezeiza Buenos Aires,EX-2018-49911778-   -APN-DCOMP#PSA,279/000 - Departamento de Compras - PSA
0,279-1003-CON18,iprar srl,33711803039,Original,Perfeccionado,28/12/2018,2.693.80789,Peso Argentino,279-0010-LPU18,Adjudicado,Impermeabilización y reparación integral de las cubiertas del Edificio ex Base Aeronaval Ezeiza,EX-2018-49926230-   -APN-DCOMP#PSA,279/000 - Departamento de Compras - PSA
0,,,,,,,,,74-0014-LPU18,Desierto,CONSTRUCCIÓN DE INTENDENCIA PARA EL PARQUE INTERJURISDICCIONAL MARINO MAKENKE EN PUERTO SAN JULIAN,EX-2018-47237852-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
0,501-0405-CON20,RIVA SAIICFA,30518917125,Original,Perfeccionado,06/3/2019,378.000.00000,Peso Argentino,81-0021-LPU18,Adjudicado,Construcción de oficinas del Estado Nacional 1° etapa,EX-2018-46684609-   -APN-DNPYDOP#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
1,81-1251-CON19,RIVA SAIICFA,30518917125,Original,Rescindido,20/3/2019,355.432.02838,Peso Argentino,81-0021-LPU18,Adjudicado,Construcción de oficinas del Estado Nacional 1° etapa,EX-2018-46684609-   -APN-DNPYDOP#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
2,81-1252-CON19,RIVA SAIICFA,30518917125,Original,Rescindido,06/3/2019,22.567.97162,Peso Argentino,81-0021-LPU18,Adjudicado,Construcción de oficinas del Estado Nacional 1° etapa,EX-2018-46684609-   -APN-DNPYDOP#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
3,81-1290-CON19,RIVA SAIICFA,30518917125,Original,Cumplido,06/3/2019,378.000.00000,Peso Argentino,81-0021-LPU18,Adjudicado,Construcción de oficinas del Estado Nacional 1° etapa,EX-2018-46684609-   -APN-DNPYDOP#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,279-1004-CON19,D&MA S.A.,30709160091,Original,Perfeccionado,29/3/2019,1.306.79394,Peso Argentino,279-0011-LPU18,Adjudicado,REACONDICIONAMIENTO DE OFICINAS PARA OBSERVACIONES JUDICIALES UBICADO EN EZEIZA BUENOS AIRES,EX-2018-52946999-   -APN-DCOMP#PSA,279/000 - Departamento de Compras - PSA
0,,,,,,,,,81-0025-LPU18,Fracasado,Puesta en Valor y Refuncionalización del Edificio de Correos de la ciudad de Santa Fe,EX-2018-51945030-   -APN-DNPYDOP#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,46/18-1338-CON19,ALTAMIRANO & PALACIOS S.A.,30714487309,Original,Perfeccionado,06/6/2019,5.780.03291,Peso Argentino,46/18-0044-LPU18,Adjudicado,PUESTA EN VALOR DE LAS INSTALACIONES DEL CAMPAMENTO ZONA ESTE-1º ETAPA- 18º DISTRITO CHACO,EX-2018-50744286-   -APN-DCHA#DNV,46/18 - 18° Chaco - DNV
0,,,,,,,,,81/9-0041-CDI18,Dejado Sin Efecto,Operación y Mantenimiento SINARAME,EX-2018-62006767-   -APN-DSIRH#MI,81/9 - Recursos Hídricos
0,14-1001-CON19,PROYECTO A S.R.L.,30710210418,Original,Perfeccionado,17/7/2019,10.048.14779,Peso Argentino,14-0019-LPU18,Adjudicado,"CONSTRUCCION DE OFICINAS Y LOCALES NIVEL + 8,00 TANDAR",EX-2018-53536133-   -APN-GAYF#CNEA,14 - Compras y Contrataciones - CNEA
0,451-1607-CON19,CONSTRUCCIONES INGEVIAL S.A.,30650833380,Original,Cumplido,28/3/2019,242.534.11458,Peso Argentino,451-0016-LPU18,Adjudicado,METROBUS RUTA 8 - 2DA ETAPA,EX-2018-68091875-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0473-CON20,CONSTRUCCIONES INGEVIAL S.A.,30650833380,Original,Perfeccionado,28/3/2019,242.534.11458,Peso Argentino,451-0016-LPU18,Adjudicado,METROBUS RUTA 8 - 2DA ETAPA,EX-2018-68091875-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,14-0030-LPR18,Dejado Sin Efecto,MONTAJE DE TECGO METALICO,EX-2018-48948385-   -APN-GAYF#CNEA,14 - Compras y Contrataciones - CNEA
0,451-1613-CON19,CONSTRUMEX S.A.,30696394217,Original,Cumplido,11/4/2019,234.825.70343,Peso Argentino,451-0001-LPU19,Adjudicado,METROBUS FLORENCIO VARELA,EX-2019-03047375-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0474-CON20,CONSTRUMEX S.A.,30696394217,Original,Perfeccionado,11/4/2019,234.825.70343,Peso Argentino,451-0001-LPU19,Adjudicado,METROBUS FLORENCIO VARELA,EX-2019-03047375-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,451-1659-CON19,CONSTRUMEX S.A.,30696394217,Original,Cumplido,25/6/2019,826.308.21136,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
1,501-0511-CON20,CONSTRUMEX S.A.,30696394217,Original,Perfeccionado,25/6/2019,826.308.21136,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
2,451-1658-CON19,MARCALBA S.A.,30608674833,Original,Cumplido,25/6/2019,737.730.57646,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
3,501-0510-CON20,MARCALBA S.A.,30608674833,Original,Perfeccionado,25/6/2019,737.730.57646,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
4,451-1657-CON19,POSE SA,30709107123,Original,Cumplido,26/6/2019,715.081.06263,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
5,501-0509-CON20,POSE SA,30709107123,Original,Perfeccionado,26/6/2019,715.081.06263,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
6,451-1661-CON19,Teximco S.A. - Tecnovias S.R.L. UTE,30716483971,Original,Cumplido,28/6/2019,777.028.96704,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
7,501-0513-CON20,Teximco S.A. - Tecnovias S.R.L. UTE,30716483971,Original,Perfeccionado,28/6/2019,777.028.96704,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
8,451-1660-CON19,VIAL TEC S.A. - RICAVIAL S.A. UTE,33716488859,Original,Cumplido,28/6/2019,809.998.60309,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
9,501-0512-CON20,VIAL TEC S.A. - RICAVIAL S.A. UTE,33716488859,Original,Perfeccionado,28/6/2019,809.998.60309,Peso Argentino,451-0005-LPU19,Adjudicado,"Rehabilitación y mantenimiento vial, de aceras,red pluvial y refugios en la RMBA",EX-2019-12266895-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,81-0024-LPU18,Disponible Para Adjudicar_error,,,
0,,,,,,,,,46/12-0005-LPU19,Dejado Sin Efecto,OBRA DE CONSERVACIÓN MEJORATIVA:EJECUCIÓN DE BACHEO Y MICROAGLOMERADO EN FRÍO RN Nº 237 NEUQUEN,EX-2019-07428666-   -APN-DNQ#DNV,46/12 - 12° Neuquen - DNV
0,,,,,,,,,451-0009-LPU19,Dejado Sin Efecto,Concesión de la Estación Terminal de Ómnibus de Retiro de la C.A.B.A. (E.T.O.R.),EX-2019-46301430-   -APN-DCTYAOPT#MTR,451/000 - Dirección de Contratación de Bienes y Servicios - MTR
0,,,,,,,,,81-0020-LPU19,Disponible Para Adjudicar_error,,,
0,82-1442-CON19,ARROYO MANNORI CONSTRUCCIONES Y ASOCIADOS S.R.L.,30708865903,Original,Anulado,,23.378.57305,Peso Argentino,82-0016-LPU19,Con Documento Contractual,CONSTRUCCION DE JARDIN DE INFANTES - PEHUAJO - PCIA DE BUENOS AIRES,EX-2019-22180167-   -APN-DCME#MECCYT,82/000 - Dirección General de Administración y Gestión Financiera - ME
1,82-1925-CON20,ARROYO MANNORI CONSTRUCCIONES Y ASOCIADOS S.R.L.,30708865903,Original,Pendiente Autorización,,23.378.57305,Peso Argentino,82-0016-LPU19,Con Documento Contractual,CONSTRUCCION DE JARDIN DE INFANTES - PEHUAJO - PCIA DE BUENOS AIRES,EX-2019-22180167-   -APN-DCME#MECCYT,82/000 - Dirección General de Administración y Gestión Financiera - ME
0,,,,,,,,,81-0004-LPU19,En Evaluacion_error,,,
0,,,,,,,,,74-0010-LPU19,Disponible Para Adjudicar_error,,,
0,,,,,,,,,81-0019-LPU19,Desierto,TEATRO CERVANTES-REHABILITACIÓN ASCENSORES,EX-2019-22105580-   -APN-DNPYDOP#MI,81/000 - Dirección General del Servicio Administrativo Financiero - Ministerio del Interior
0,,,,,,,,,46/13-0016-LPU19,Dejado Sin Efecto,OBRA DE CONSERVACIÓN MEJORATIVA RUTA NACIONAL N° 40 PCIA. DE CHUBUT,EX-2019-14303881-   -APN-DCHU#DNV,46/13 - 13° Chubut - DNV
0,,,,,,,,,74-0013-LPU19,Fracasado,Refacción y refuncionalización Centro de Visitantes Parque Nacional El Palmar,EX-2019-56700875-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
0,46-1278-CON20,DYCASA Sociedad Anónima,33516294189,Original,Perfeccionado,18/9/2020,1.135.079.74913,Peso Argentino,46-0004-LPU19,Adjudicado,PROYECTO: RUTA NACIONAL N° 12. ACCESO PARANÁ – SAN BENITO POR AUTOPISTA. OBRA: VINCULACIÓN RUTA NACIONAL N° 12 CON AV. CIRCUNVALACIÓN DE PARANÁ. RUTA NACIONAL N° 12. TRAMO: PUENTE S/ A° SAUCESITO – AV. ALMAFUERTE. PROVINCIA DE ENTRE RÍOS.,EX-2019-05416213-   -APN-LYC#DNV,46/000 - Coordinación de Licitaciones y Contrataciones - DNV
0,,,,,,,,,46-0028-LPU19,Fracasado,"OBRA: “DEMOLICIÓN Y RECONSTRUCCIÓN DE ALCANTARILLA SOBRE A° SAN JOSÉ"" - R. N. N° 14 - MISIONES",EX-2019-19724972-   -APN-LYC#DNV,46/000 - Coordinación de Licitaciones y Contrataciones - DNV
0,,,,,,,,,46-0032-LPU19,En Apertura_error,,,
0,,,,,,,,,46-0033-LPU19,Fracasado,OBRA DE CONSERVACIÓN MEJORATIVA Y DE MANTENIMIENTO SISTEMA MODULAR - PUENTE POSADAS (ARG.) – ENCARNA,EX-2019-20153480-   -APN-LYC#DNV,46/000 - Coordinación de Licitaciones y Contrataciones - DNV
0,,,,,,,,,88-0001-LPR19,Dejado Sin Efecto,"Depósito Residuos Especiales, Morgue y Lavadero",EX-2019-64554322-   -APN-INAREPS#MSYDS,88/00 - Compras - Instituto Nacional de Rehabilitación Psicofísica del Sur
0,,,,,,,,,14-0013-LPR19,Desierto,MONTAJE DE TECHO METALICO,EX-2018-48948385-   -APN-GAYF#CNEA,14 - Compras y Contrataciones - CNEA
0,34-1269-CON20,VILLAREX SA,30712097996,Original,Perfeccionado,07/10/2020,32.655.52869,Peso Argentino,34-0006-LPU19,Adjudicado,Adecuación del edificio de la calle Alsina 470 CABA para reubicar el Tribunal Fiscal de la Nación,EX-2019-55922007-   -APN-DCPYS#MHA,34/000 - Dirección General de Administración - MHA
0,74-1050-CON20,CONSTRUCTORA VENETTO S.A.,30709662674,Original,Perfeccionado,11/9/2020,23.598.04664,Peso Argentino,74-0020-LPU19,Adjudicado,Construcción de Galpón - Taller en el Parque Nacional Lihue Calel,EX-2019-70611561-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
0,46/1-1013-CON20,Coince Bahía S.A,30614969659,Original,Perfeccionado,18/5/2020,37.772.26008,Peso Argentino,46/1-0069-LPU19,Adjudicado,"ALTEO Y RECONST. DE LA CALZADA RNNº 3-TRAMO CNEL. DORREGO-EMP. RNNº 249 KM 607,56-KM 608,63",EX-2019-64321679-   -APN-DBB#DNV,46/01 - 19° Bahía Blanca - DNV
0,81/9-1706-CON19,INVAP S.E.,30585581247,Original,Perfeccionado,22/11/2019,478.362.85973,Peso Argentino,81/9-0020-CDI19,Adjudicado,OPERACIÓN Y MANTENIMIENTO DEL SISTEMA NACIONAL DE RADARES METEOROLOGICOS - SINARAME,EX-2019-74751477-   -APN-DSIRH#MI,81/9 - Recursos Hídricos
0,46/17-1264-CON20,CONSTRUCTORA DOS ARROYOS S.A.,30504635895,Original,Perfeccionado,02/7/2020,39.258.07220,Peso Argentino,46/17-0036-LPU19,Adjudicado,RN 12 -BACHEO CON MEZCLA BITUMINOSA TIPO CONCRETO ASFÁLTICO EN CALIENTE.,EX-2019-21307723-   -APN-DER#DNV,46/17 - 17° Entre Rios - DNV
1,46/17-1637-CON19,CONSTRUCTORA DOS ARROYOS S.A.,30504635895,Original,Anulado,,39.258.07220,Peso Argentino,46/17-0036-LPU19,Adjudicado,RN 12 -BACHEO CON MEZCLA BITUMINOSA TIPO CONCRETO ASFÁLTICO EN CALIENTE.,EX-2019-21307723-   -APN-DER#DNV,46/17 - 17° Entre Rios - DNV
0,46/12-1301-CON20,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,30626695821,Original,Perfeccionado,06/10/2020,40.962.33211,Peso Argentino,46/12-0074-LPU19,Adjudicado,"Obra de conservación mejorativa ""Ejecución de bacheo y microaglomerado asfáltico en frío RN Nº 237""""",EX-2019-68380164-   -APN-DNQ#DNV,46/12 - 12° Neuquen - DNV
0,,,,,,,,,46/14-0085-LPU19,Pendiente Análisis_error,,,
0,,,,,,,,,46/8-0052-LPU19,En Apertura_error,,,
0,46/8-1007-CON20,Paolini Hnos S.A,30505098095,Original,Anulado,,31.511.20202,Peso Argentino,46/8-0072-LPU19,Adjudicado,R.N. N° 79; TRAMO: OLTA – CHAMICAL EMP. RN38; BACHEO SUPERFICIAL,EX-2019-67244672-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
1,46/8-1286-CON20,Paolini Hnos S.A,30505098095,Original,Perfeccionado,30/9/2020,31.511.20202,Peso Argentino,46/8-0072-LPU19,Adjudicado,R.N. N° 79; TRAMO: OLTA – CHAMICAL EMP. RN38; BACHEO SUPERFICIAL,EX-2019-67244672-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
2,46/8-1622-CON19,Paolini Hnos S.A,30505098095,Original,Anulado,,31.511.20202,Peso Argentino,46/8-0072-LPU19,Adjudicado,R.N. N° 79; TRAMO: OLTA – CHAMICAL EMP. RN38; BACHEO SUPERFICIAL,EX-2019-67244672-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
0,46/8-1277-CON20,Paolini Hnos S.A,30505098095,Original,Perfeccionado,07/10/2020,30.333.15218,Peso Argentino,46/8-0086-LPU19,Adjudicado,R.N. Nº 141; TRAMO: CHEPES - LTE. LA RIOJA/SAN JUAN; BACHEO SUPERFICIAL,EX-2019-75395939-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
1,46/8-1625-CON19,Paolini Hnos S.A,30505098095,Original,Anulado,,30.333.15218,Peso Argentino,46/8-0086-LPU19,Adjudicado,R.N. Nº 141; TRAMO: CHEPES - LTE. LA RIOJA/SAN JUAN; BACHEO SUPERFICIAL,EX-2019-75395939-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
0,46/8-1156-CON20,Paolini Hnos S.A,30505098095,Original,Anulado,,32.205.81289,Peso Argentino,46/8-0095-LPU19,Adjudicado,R.N. Nº 79; TRAMO: EMP. R.N. 38 – LTE. LA RIOJA/CATAMARCA; BACHEO SUPERFICIAL,EX-2019-78331513-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
1,46/8-1287-CON20,Paolini Hnos S.A,30505098095,Original,Perfeccionado,30/9/2020,32.205.81289,Peso Argentino,46/8-0095-LPU19,Adjudicado,R.N. Nº 79; TRAMO: EMP. R.N. 38 – LTE. LA RIOJA/CATAMARCA; BACHEO SUPERFICIAL,EX-2019-78331513-   -APN-DLR#DNV,46/08 - 8° La Rioja - DNV
0,,,,,,,,,46/14-0088-LPU19,Pendiente Análisis_error,,,
0,,,,,,,,,46-0060-LPU19,En Apertura_error,,,
0,,,,,,,,,14-0033-LPR19,Dejado Sin Efecto,CONSTRUCCIÓN DE MURO LINDERO GAS NATURGY,EX-2019-64782497-   -APN-GAYF#CNEA,14 - Compras y Contrataciones - CNEA
0,,,,,,,,,14-0035-LPR19,Disponible Para Adjudicar_error,,,
0,,,,,,,,,81-0030-LPU19,En Apertura_error,,,
0,,,,,,,,,74-0016-LPU19,Dejado Sin Efecto,Reparación de la Infraestructura en General Parque Nacional Ciervo de los Pantanos,EX-2019-62351283-   -APN-DNIN#APNAC,74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES
0,,,,,,,,,90-0001-LPU19,Dejado Sin Efecto,Ampliación de la planta de tratamiento de afluentes cloacales de la loicalidad de Saladillo - Bs.As.,EX-2019-102482846-   -APN-GAF#ENOHSA,90 - Departamento de Compras y Licitaciones-ENOHSA
0,,,,,,,,,81-0036-LPU19,En Apertura_error,,,
